@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
0,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0.013699,0,?,0,?,0,?,?,Settlement__LunarCrater,+
0,13,0,1,?,?,?,?,?,?,?,?,0,0.2,0.026667,0,?,0,?,0,?,?,WaterwayTunnel__Continent,+
0,16,0.142857,0,?,?,?,?,?,?,?,?,0,0.2,0.045455,0,?,0,?,0,0.222222,0.001604,AustralianFootballLeague__BasketballTeam,+
0.55,13,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.003128,BroadcastNetwork__Locomotive,+
0,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,GolfPlayer__Weapon,+
0.424145,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Activity__ProtectedArea,+
0.593519,7,0.095238,1,0.039638,?,1.742969,25,?,0.142857,1.825838,0.7,0,0.2,0,0,?,0,?,0,?,0.002002,Cricketer__Bacteria,+
0.435185,16,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Song__InlineHockeyLeague,+
0.622222,9,0.16,1,?,?,?,?,?,?,?,?,0,0.2,0.02807,0,?,0,0,0,?,0.000992,CollegeCoach__Continent,+
0.412698,13,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,LacrosseLeague__Ginkgo,+
0,7,0,1,0.122941,0.160493,1.89712,27,0.654127,0.166667,5.891948,0.705882,0,0.2,0,0,?,0,?,0,?,?,Game__Musical,+
0,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0.012579,0,?,0,?,0,?,?,Settlement__RecordLabel,+
0.489177,9,0,1,?,?,?,?,?,?,?,?,1,0.2,0.068493,0.25,?,0,?,0,?,0.00881,Company__RecordLabel,-
0.483333,4,0,1,0.133087,0.068104,2.302585,152,0.199162,0.25,1.906465,0.769231,0,0.2,0,0,?,0,?,0,?,0.001053,Fish__Saint,+
0.490404,10,0,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,MusicalWork__NascarDriver,+
0.395833,16,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Activity__VolleyballLeague,+
0,10,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SportsEvent__GreenAlga,+
0,8,0,1,?,?,?,?,?,?,?,?,0,0.2,0.030303,0,?,0,?,0,?,0.001162,TennisPlayer__Village,+
0.472222,5,0,1,0.213368,0.112145,1.742969,128,0.368846,0.142857,2.605545,0.666667,0,0.2,0,0,?,0,?,0,?,?,Stream__Work,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0.018779,0,?,0,?,0,?,0.001608,President__HistoricPlace,+
0.483333,17,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.003323,Election__PeriodicalLiterature,+
0.411111,12,0.08,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Colour__IceHockeyPlayer,+
0.453704,8,0,1,0.106912,?,1.049822,52,?,0.071429,1.370741,0.434783,0,0.2,0,0,?,0,?,0,?,0.00176,Cricketer__Ship,+
0.559848,10,0,1,0.051349,0.055909,1.049822,51,?,0.071429,?,0.235294,0,0.2,0,0,?,0,?,0,?,0.001649,Bacteria__Legislature,+
0,9,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Amphibian__GrandPrix,+
0.41453,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,FootballMatch__Tunnel,+
