@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
0.659091,7,0.086957,1,0.091426,0.055144,1.386294,27,?,0.1,?,0.307692,0,?,0.125,0,?,0,?,0,?,?,Accident__Archipelago,+
0.521645,20,0,1,?,?,?,?,?,?,?,?,0,0.3125,0.133333,0,?,0,?,0,?,?,Account__GovernmentOrganization,+
0.561905,5,0,1,0.112091,0.064034,1.491655,72,0.088397,0.111111,0.778298,0.428571,0,0.3125,0.111111,0,?,0,?,0,?,?,Account__Ocean,+
0.467787,15,0,1,?,?,?,?,?,?,?,?,0,0.5,0.133333,0,?,0,?,0,?,?,Account__PublishingCompany,+
0.460317,17,0,1,?,?,?,?,?,?,?,?,0,0.3125,0.142857,0,?,0,?,0,?,?,Account__ReligiousOrganization,+
0.507937,6,0,1,0.128136,0.059565,1.386294,79,0.222125,0.1,2.396978,0.470588,0,0.3125,0.111111,0,?,0,?,0,?,?,Account__Volcano,+
0.306349,8,0.538462,1,?,?,?,?,?,?,?,?,0,0.125,0.076923,0,?,0,?,0,?,?,Address__InternetAddress,-
0.406593,6,0.583333,1,?,?,?,?,?,?,?,?,1,0.1875,0.076923,0.5,?,0,?,0,?,?,Address__PostalAddress,-
0.561905,5,0,1,0.06174,?,1.203973,15,?,0.083333,2.491596,0.521739,0,0.4375,0.1,0,?,0,?,0,0.1875,?,Airline__Brand,-
0.47619,6,0.1,1,0.075211,?,1.203973,18,?,0.083333,1.169783,0.421053,0,0.5625,0.125,0,?,0,0,0,?,?,Airline__Continent,+
0.447619,6,0,1,0.143513,?,1.290984,18,?,0.090909,0.778298,0.375,0,0.5625,0.066667,0,?,0,?,0,?,?,Airline__Event,+
0.40873,10,0,1,?,?,?,?,?,?,?,?,0,0.125,0.136364,0,?,0,?,0,0.1875,?,Airline__MediaCompany,-
0.561905,5,0.125,1,0.101088,?,1.386294,24,?,0.1,2.491596,0.571429,0,0.5625,0.133333,0,?,0,?,0,?,?,Airline__Movie,+
0,10,0,0,?,?,?,?,?,?,?,?,0,0.6875,0.066667,0,?,0,?,0,?,?,Airline__OlympicGames,+
0.642857,5,0,1,0.041829,?,1.290984,15,?,0.090909,1.370741,0.5,0,0.5625,0.125,0,?,0,?,0,?,?,Airline__Planet,+
0.464286,7,0,1,0.064177,?,1.290984,23,?,0.090909,1.370741,0.5,0,0.5625,0.125,0,?,0.005814,0.033708,1,0.125,?,Airline__Star,+
0.539683,6,0,1,0.049184,?,1.203973,14,?,0.083333,1.169783,0.421053,0,0.5625,0.125,0,?,0,0,0,?,?,Airline__Valley,+
0.576923,9,0.086957,1,?,?,?,?,?,?,?,?,0,0.3125,0.111111,0,?,0,?,0,?,?,AirplaneModel__Island,+
0.598291,11,0,0,?,?,?,?,?,?,?,?,0,0.125,0.058824,0,?,0,?,0,?,?,AirplaneModel__MediaProduct,+
0.521368,12,0,0,?,?,?,?,?,?,?,?,0,0.5625,0.133333,0,?,0,?,0,?,?,AirplaneModel__TVCompany,+
0.511905,7,0,1,0.050237,0.063402,1.386294,30,0.24009,0.1,2.491596,0.571429,0,0.125,0.095238,0,?,0,?,0,?,?,Airport__Pipeline,+
0,5,0,1,0.112763,0.070273,1.290984,35,0.141196,0.090909,1.169783,0.444444,0,0.5,0.105263,0,?,0.996689,1,1,?,?,Album__City,+
0,6,0,1,0.060511,0.048791,1.609438,19,0.102455,0.125,1.370741,0.588235,0,0.5,0.111111,0,?,0,0,0,?,?,Album__Crater,+
0,8,0,1,0.129164,0.057088,1.203973,37,?,0.083333,?,0.266667,0,0.5625,0.142857,0,?,0.979658,1,0,?,?,Album__Division,+
0.561905,5,0.125,1,0.08541,0.186445,2.590267,96,0.715972,0.333333,6.760119,0.888889,0,0.6875,0.133333,0,?,0,?,0,?,?,Album__Telecom,+
0.447619,6,0,1,0.067669,0.048791,1.386294,23,0.102455,0.1,1.169783,0.470588,0,0.5625,0.111111,0,?,0.00745,0.011236,1,?,?,Album__Volcano,+
0.420168,16,0,0,?,?,?,?,?,?,?,?,0,0.5,0.111111,0,?,0,?,0,?,?,AlcoholicBeverage__MountainSummit,+
0.376068,13,0,0,?,?,?,?,?,?,?,?,0,0.1875,0.1,0,?,0,?,0,?,?,AmusementPark__SportBuilding,-
0.5,12,0,1,?,?,?,?,?,?,?,?,0,0.625,0.074074,0,?,0,?,0,?,?,Announcement__LocalCapital,+
0.45098,14,0,1,?,?,?,?,?,?,?,?,0,0.5,0.08,0,?,0,?,0,?,?,Announcement__ReligiousLocation,+
0,11,0,1,0.155848,0.060862,1.290984,111,?,0.090909,?,0.285714,0,0.5625,0.08,0,?,0,?,0,?,?,Announcement__River,+
0.524074,7,0.4,1,0.444985,0.235929,2.995732,730,0.70066,0.5,4.96056,0.923077,1,0.375,0.041667,0.047619,?,0,?,0,?,?,Announcement__Statement,-
0,12,0,1,?,?,?,?,?,?,?,?,0,?,0.125,0,?,0,?,0,?,?,Archipelago__CalendarYear,+
0.454545,13,0,1,?,?,?,?,?,?,?,?,0,0.3125,0.1,0,?,0,?,0,?,?,Archipelago__NaturalSatellite,+
0.702381,4,0.647059,0,?,?,?,?,?,?,?,?,1,0.1875,0.076923,0.25,?,1,?,1,0.125,?,ArtPerformance__OperaPerformance,-
0,7,0.352941,1,?,?,?,?,?,?,?,?,0,0.3125,0.083333,0,?,0,0,0,?,?,Art__PieceOfArt,-
0.603571,9,0.086957,1,0.209441,0.086468,1.609438,98,0.3468,0.125,3.070066,0.533333,0,0.125,0.064516,0,?,0,?,0,?,?,Article__Announcement,-
0,7,0,1,0.345227,0.098984,1.89712,132,0.213443,0.166667,2.491596,0.705882,0,0.5,0.175,0,?,0,?,0,?,?,Article__Man,+
0.436508,12,0,1,?,?,?,?,?,?,?,?,0,?,0.076923,0,?,0,?,0,?,?,Article__RailroadTunnel,+
0.539683,7,0,1,0.329919,0.114738,2.079442,195,0.518448,0.2,4.691644,0.75,0,0.1875,0.068966,0,?,0,?,0,?,?,Article__Report,-
0.51462,15,0,0,?,?,?,?,?,?,?,?,0,0.5625,0.125,0,?,0,?,0,?,?,ArtificialSatellite__OlympicGames,+
0,15,0,1,?,?,?,?,?,?,?,?,0,0.5625,0.133333,0,?,0,?,0,?,?,ArtificialSatellite__Parliament,+
0,16,0,0,?,?,?,?,?,?,?,?,0,0.4375,0.125,0,?,0,?,0,?,?,ArtificialSatellite__TimeInterval,+
